ID,CrmName,RefDate,AutoCloseDate,NoClient,code_naf,composite_key,temps_code1,temps_code3,temps_code4,temps_code5,temps_code6,temps_total,pv_code1,pv_code3,pv_code4,pv_code5,pv_code6,pv_total,code1,code3,code4,code5,code6,name,forme_juridique,activite,premiere_date_signature,nb_salaries,CA,statut_caisse,nb_lignes_produits,nb_lignes_charges,nb_lignes_banque,statut_remuneration_dirigeant
23284,MIS-2016-12-01,2016-12-31,2023-11-30,03617,4312A,201603617,0.0,0.7,2.0,0.0,0.0,2.7,0.0,85.92,231.28,0.0,0.0,317.2,0,1,1,0,0,GERARD GUYOT,SARL,Travaux de terrassement courants et travaux préparatoires,2009-09-22,2,0.0,-1,-1,-1,-1,-1
24786,MIS-2017-12-01,2017-12-31,2023-11-30,03617,4312A,201703617,0.0,0.35,0.0,0.0,0.0,0.35,0.0,44.21,0.0,0.0,0.0,44.21,0,1,0,0,0,GERARD GUYOT,SARL,Travaux de terrassement courants et travaux préparatoires,2009-09-22,2,0.0,-1,-1,-1,-1,-1
25010,MIS-2017-12-01,2017-12-31,2024-06-30,05185,6820B,201705185,0.0,1.35,0.0,0.0,0.0,1.35,0.0,159.26,0.0,0.0,0.0,159.26,0,1,0,0,0,SUNDOM',SCI,Location de terrains et d'autres biens immobiliers,2013-06-26,0,0.0,-1,-1,-1,-1,-1
26555,MIS-2018-12-01,2018-12-31,2020-05-27,05103,4638B,201805103,0.0,1.0,0.0,0.0,0.0,1.0,0.0,171.77,0.0,0.0,0.0,171.77,0,1,0,0,0,SIMPLO FRANCE,SAS,,2013-10-14,0,0.0,-1,-1,-1,-1,-1
28006,MIS-2019-12-01,2019-12-31,2020-12-08,02631,4511Z,201902631,5.75,1.92,0.0,1.5,0.0,9.17,486.19,165.18,0.0,93.33,0.0,744.7,1,1,0,1,0,BERRACHED,IND,Commerce de voitures et de véhicules automobiles légers,2017-12-11,0,13351.67,0,6,61,44,0
28021,MIS-2019-12-01,2019-12-31,2020-09-30,02935,0161Z,201902935,2.5,0.25,0.0,0.5,0.0,3.25,247.17,30.06,0.0,49.44,0.0,326.67,1,1,0,1,0,GUYOT GERARD ETA,DIV,Activités de soutien aux cultures,2008-10-01,0,500.0,0,1,19,29,0
28064,MIS-2019-12-01,2019-12-31,2023-11-30,03617,4312A,201903617,0.0,0.25,0.0,0.0,1.45,1.7,0.0,30.06,0.0,0.0,184.61,214.67,0,1,0,0,1,GERARD GUYOT,SARL,Travaux de terrassement courants et travaux préparatoires,2009-09-22,2,0.0,-1,-1,-1,-1,-1
29416,MIS-2019-09-01,2019-09-30,2021-04-30,03994,5630Z,201903994,14.85,3.25,0.0,13.55,0.0,31.65,1404.07,393.8,0.0,908.52,0.0,2706.39,1,1,0,1,0,ROCHARD,EIRL,Débits de boissons,2010-10-11,0,0.0,-1,-1,-1,-1,-1
28981,MIS-2019-03-01,2019-03-31,2020-06-30,04415,1071C,201904415,16.95,1.8,0.0,0.5,0.0,19.25,1952.84,181.88,0.0,43.46,0.0,2178.18,1,1,0,1,0,RELAIS,IND,Boulangerie et boulangerie-pâtisserie,2011-08-26,0,0.0,-1,-1,-1,-1,-1
28162,MIS-2019-12-01,2019-12-31,2022-02-28,04668,4321A,201904668,0.05,0.5,0.0,0.0,0.3,0.85,5.25,95.01,0.0,0.0,30.0,130.26,1,1,0,0,1,ARTISAN ELECTRICIEN DU BATIMENT 44,EURL,,2012-01-20,0,0.0,-1,-1,-1,-1,-1
28166,MIS-2019-12-01,2019-12-31,2021-01-31,04685,5610A,201904685,27.9,2.08,1.8,46.86,1.1,79.74,2977.49,311.06,167.52,3316.78,110.01,6882.86,1,1,1,1,1,CAFE DE LA PLACE,SARL,,2012-02-27,0,0.0,-1,-1,-1,-1,-1
28179,MIS-2019-12-01,2019-12-31,2020-07-31,04796,6820B,201904796,2.45,0.53,0.0,0.0,0.0,2.98,287.22,99.38,0.0,0.0,0.0,386.6,1,1,0,0,0,LA STATION,SCI,Location de terrains et d'autres biens immobiliers,2012-05-11,0,0.0,-1,-1,-1,-1,-1
28204,MIS-2019-12-01,2019-12-31,2020-03-09,04987,5510Z,201904987,12.25,1.5,0.0,0.0,0.65,14.4,1493.42,240.05,0.0,0.0,65.01,1798.48,1,1,0,0,1,HOTEL DU GOLFE,SARL,Hôtels et hébergement similaire,2013-06-13,0,0.0,-1,-1,-1,-1,-1
28243,MIS-2019-12-01,2019-12-31,2024-06-30,05185,6820B,201905185,0.0,0.35,0.0,0.0,0.0,0.35,0.0,39.45,0.0,0.0,0.0,39.45,0,1,0,0,0,SUNDOM',SCI,Location de terrains et d'autres biens immobiliers,2013-06-26,0,0.0,-1,-1,-1,-1,-1
28463,MIS-2019-12-01,2019-12-31,2020-07-31,06179,6820B,201906179,3.4,0.95,0.0,1.4,0.0,5.75,302.38,84.49,0.0,124.52,0.0,511.39,1,1,0,1,0,ALEXEMMA,SCI,Location de terrains et d'autres biens immobiliers,2016-01-21,0,0.0,-1,-1,-1,-1,-1
28507,MIS-2019-12-01,2019-12-31,2020-04-30,06336,6820B,201906336,2.05,0.25,0.0,1.5,0.0,3.8,166.59,18.69,0.0,112.14,0.0,297.42,1,1,0,1,0,DU PIROUET,SCI,Location de terrains et d'autres biens immobiliers,2016-06-26,0,0.0,-1,-1,-1,-1,-1
28562,MIS-2019-12-01,2019-12-31,2020-06-30,06566,7022Z,201906566,1.75,0.0,0.0,0.0,0.0,1.75,108.89,0.0,0.0,0.0,0.0,108.89,1,0,0,0,0,PROSPULSE,SAS,,2016-12-06,0,0.0,-1,-1,-1,-1,-1
28635,MIS-2019-12-01,2019-12-31,2021-05-31,06832,5630Z,201906832,8.5,2.0,0.0,1.5,0.0,12.0,986.12,144.9,0.0,108.68,0.0,1239.7,1,1,0,1,0,COHAN ,IND,Débits de boissons,2018-07-23,0,0.0,-1,-1,-1,-1,-1
28655,MIS-2019-12-01,2019-12-31,2021-01-31,06895,9411Z,201906895,2.0,2.6,0.0,2.0,0.0,6.6,240.48,312.62,0.0,129.36,0.0,682.46,1,1,0,1,0,SYNDICAT DEPARTEMENTAL DES ARTISANS,DIV,Activités des organisations patronales et consulaires,2017-12-28,1,9514.08,0,3,42,49,0
29673,MIS-2020-12-01,2020-12-31,2021-04-09,00019,0147Z,202000019,17.45,10.85,1.6,0.0,64.74,94.64,2510.41,1241.65,176.24,0.0,7043.39,10971.69,1,1,1,0,1,ETABLISSEMENTS GOUBAUD,SARL,Élevage de volailles,2008-12-08,0,0.0,-1,-1,-1,-1,-1
29674,MIS-2020-12-01,2020-12-31,2021-05-31,00034,8621Z,202000034,61.25,7.15,0.0,0.0,140.15,208.55,6046.58,734.11,0.0,0.0,14034.23,20814.92,1,1,0,0,1,SANTE TRAVAIL CHOLET SAUMUR,ASS,Activité des médecins généralistes,2014-05-06,0,7163687.8,1,15,108,9,0
