name,syd_n_de_dossier_cegid,syd_naf,syd_forme_juridique_sirene,syd_activite,syd_premiere_date_de_signature,syd_total_salaries,accountid
MAUPOINT,13843,5630Z,,Débits de boissons,2025-05-19,0,16C53E5B-1DDE-EF11-8EEA-000D3A64A337
ELITE ET SENS FORMATION,13849,8559A,,Formation continue d'adultes,2025-02-25,0,B182C809-61DE-EF11-8EEA-000D3A64A337
O'NAAN,13693,5610A,,Restauration traditionnelle,2024-12-05,1,92604072-5DAD-EF11-B8E8-000D3A64A337
STLM,13694,6820B,,location de terrains et d'autres biens immobiliers,2025-01-06,0,881D8FC7-6BAD-EF11-B8E8-000D3A64A337
LES DUCS D'ALBE,13709,5630Z,,Débits de boissons,2024-12-18,1,1527BC0D-0CB3-EF11-B8E8-000D3A64A337
BEEP!,13767,9002Z,,Activités de soutien au spectacle vivant,2025-02-12,0,5AFD4673-2CC4-EF11-B8E8-000D3A64A337
LIGHTA,13773,9002Z,,Activités de soutien au spectacle vivant,2025-02-12,0,A86CA2C2-36C4-EF11-B8E8-000D3A64A337
DTR BOIS,13786,1610B,,Imprégnation du bois,2025-02-10,0,AC535BA2-DBCC-EF11-B8E8-000D3A64A337
Emmanuel Guillemet,13799,7112B,,"Ingénierie, études techniques, paysagiste",2025-03-21,0,69EC77BD-9BCE-EF11-B8E8-000D3A64A337
TAUZI PAUL,13367,8622C,,Médecin Anesthésiste,2024-09-25,0,829B234D-0249-EF11-BFE3-000D3A64BE6B
EPICERIE PASTEUR,13392,4729Z,,Autres commerces de détail alimentaires en magasin spécialisé,2024-11-21,0,C1D9E26D-9E5F-EF11-BFE3-000D3A64BE6B
HOLDING AUBERT FAMILY,13354,6420Z,,Holding,2025-02-18,0,F421C5BC-4343-EF11-A316-000D3A64D14C
C & R.E CO.,11209,4519Z,SASU,Commerce d'autres véhicules automobiles,2023-06-20,1,65BE8B48-240F-ED11-82E4-000D3A64F66B
LMNP GUERIN JEROME,11213,6820A,IND,LMNP,2023-06-20,0,22F92556-380F-ED11-82E4-000D3A64F66B
BOULANGERIE PATISSERIE DELATTRE,11207,1071C,EURL,Boulangerie et boulangerie-pâtisserie,2022-11-02,6,7018B004-130F-ED11-82E4-000D3A64F8AB
MANTES,13288,6820B,,Location de terrains et d'autres biens immobiliers,2024-09-24,0,EDA61BC6-6631-EF11-8409-000D3A650BA9
CAL EVENTS,13290,,,Evénementiel,2025-04-24,0,E45BFF78-2132-EF11-8409-000D3A650BA9
PATRICK ROBIN LUTHIER,13318,3220Z,,Luthier,2024-07-18,0,3E56CF3D-5F35-EF11-8409-000D3A650BA9
CMR,13320,68.20B,,Location de terrains et d'autres biens immobiliers,2024-07-11,0,814C2E68-8037-EF11-8409-000D3A650BA9
CALVEZ,13321,,,Société Immobilière,2025-01-08,0,CFD58971-8237-EF11-8409-000D3A650BA9
