name,syd_n_de_dossier_cegid,syd_naf,syd_forme_juridique_sirene,syd_activite,syd_premiere_date_de_signature,syd_total_salaries,accountid,naf_officiel,activite_differe
STLM,13694,6820B,,location de terrains et d'autres biens immobiliers,2025-01-06,0,881D8FC7-6BAD-EF11-B8E8-000D3A64A337,Location de terrains et d'autres biens immobiliers,True
Emmanuel Guillemet,13799,7112B,,"Ingénierie, études techniques, paysagiste",2025-03-21,0,69EC77BD-9BCE-EF11-B8E8-000D3A64A337,"Ingénierie, études techniques",True
TAUZI PAUL,13367,8622C,,Médecin Anesthésiste,2024-09-25,0,829B234D-0249-EF11-BFE3-000D3A64BE6B,Autres activités des médecins spécialistes,True
EPICERIE PASTEUR,13392,4729Z,,Autres commerces de détail alimentaires en magasin spécialisé,2024-11-21,0,C1D9E26D-9E5F-EF11-BFE3-000D3A64BE6B,Autres commerces de détail alimentaires en magasin spécialisé ,True
HOLDING AUBERT FAMILY,13354,6420Z,,Holding,2025-02-18,0,F421C5BC-4343-EF11-A316-000D3A64D14C,Activités des sociétés holding,True
LMNP GUERIN JEROME,11213,6820A,IND,LMNP,2023-06-20,0,22F92556-380F-ED11-82E4-000D3A64F66B,Location de logements,True
CAL EVENTS,13290,NAN,,Evénementiel,2025-04-24,0,E45BFF78-2132-EF11-8409-000D3A650BA9,,True
PATRICK ROBIN LUTHIER,13318,3220Z,,Luthier,2024-07-18,0,3E56CF3D-5F35-EF11-8409-000D3A650BA9,Fabrication d'instruments de musique,True
CALVEZ,13321,NAN,,Société Immobilière,2025-01-08,0,CFD58971-8237-EF11-8409-000D3A650BA9,,True
LAVALLEE ELAGAGE ET JARDIN,13332,8130Z,,Elageur Paysagiste,2024-10-01,0,A87F69DF-163A-EF11-8409-000D3A650BA9,Services d'aménagement paysager ,True
LG LEGACY,13336,6820B,,Location immobilière,2024-10-04,0,F5AAB91F-043D-EF11-8409-000D3A650BA9,Location de terrains et d'autres biens immobiliers,True
EXALTIO,13252,4778C,,Galerie d'Art,2024-06-18,1,B0198B8F-F123-EF11-840A-000D3A650BA9,Autres commerces de détail spécialisés divers,True
MELLINET,13253,4641Z,,Distributeur chaussures,2024-06-27,0,FB2BCD16-F923-EF11-840A-000D3A650BA9,Commerce de gros (commerce interentreprises) de textiles,True
ALLO BRICO SERVICES,13277,8121Z,,"BRICOLAGE , JARDINAGE, NETTOYAGE ET INFORMATIQUE",2024-07-29,0,66FEF461-142E-EF11-840A-000D3A650BA9,Nettoyage courant des bâtiments,True
PHS,13054,4520A,,"Entretien et réparation de véhicules automobiles légers, vente de véhicules d'occasion.",2025-02-13,18,590A5768-8CDF-EE11-904C-000D3A664848,Entretien et réparation de véhicules automobiles légers,True
O2AG,13080,6820B,,Location immobilière,2024-03-29,0,570CFA14-0DE5-EE11-904C-000D3A664848,Location de terrains et d'autres biens immobiliers,True
B&F DECOR,13084,4399C,,Enduiseur,2024-03-25,2,9751970B-07E6-EE11-904C-000D3A664848,Travaux de maçonnerie générale et gros œuvre de bâtiment,True
CANIYORK 3,13086,8559A,,Organisme de fomation,2024-09-27,0,6E13AECC-9BE6-EE11-904C-000D3A664848,Formation continue d'adultes,True
HOLDING PRODHOMME,13090,6630Z,,Prise de participation financière - Holding,2024-07-09,0,76B3F197-6DE7-EE11-904C-000D3A664848,Gestion de fonds,True
VINCENT DESPLACES,13091,7022Z,,Géobiologiste,2024-04-18,0,9EAFADAB-9CE7-EE11-904C-000D3A664848,Conseil pour les affaires et autres conseils de gestion,True
DECHAUX,13142,4777Z,,Bijouterie Julien D'Orcel,2024-09-11,3,5AD2560D-D7F7-EE11-A1FD-000D3A664848,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,True
BOUTARD CLEMENT,13114,1071C,,Boulangerie,2024-04-05,4,B8D76F75-5EEB-EE11-A203-000D3A664848,Boulangerie et boulangerie-pâtisserie,True
COUVERTURE PRO OUEST,13118,4391B,,Couverture,2024-05-02,0,0B4EDADB-90EB-EE11-A203-000D3A664848,Travaux de couverture par éléments,True
BR,13123,6820B,,Location Immobilière,2024-04-29,0,B6529090-C6ED-EE11-A203-000D3A664848,Location de terrains et d'autres biens immobiliers,True
MUSIC AUDIO DESIGN,14037,9002Z,,Prestations techniques pour le son,2025-04-11,0,3800CAAA-280B-F011-BAE3-000D3A669D81,Activités de soutien au spectacle vivant,True
MINUTE PAPILLON,14039,5920Z,,Enregistrement sonore et édition musicale,2025-05-05,0,9CDA71E5-2A0B-F011-BAE3-000D3A669D81,Enregistrement sonore et édition musicale ,True
MARIE-ANGE KERNEIS,13340,8559A,,Organisme de formation,2024-07-19,1,6535B9D1-E83E-EF11-8409-000D3A66C40A,Formation continue d'adultes,True
LA CLINIQUE DE LA JANTE,13341,4520A,,"Réparation de jantes, pare-brise",2024-07-30,0,5654C96C-EA3E-EF11-8409-000D3A66C40A,Entretien et réparation de véhicules automobiles légers,True
Forum Semacle,13334,6820B,,(Location de terrains et d'autres biens immobiliers,2024-11-19,0,49E52955-B73A-EF11-8409-000D3A67F5CA,Location de terrains et d'autres biens immobiliers,True
TOLMES,13130,5911A,,Production de films et de programmes pour la télévision,2024-06-04,0,31DFED5F-5DF2-EE11-904B-000D3A699925,Production de films et de programmes pour la télévision ,True
CUISINES VINCENT,13151,7022Z,,Holding,2024-04-29,0,B7EA64F8-47FB-EE11-A1FE-000D3A699925,Conseil pour les affaires et autres conseils de gestion,True
WEB AUTO CONCEPT,13115,4511Z,,Conseil sur solution de communication et vente dans l'univers de l'automobile,2024-04-10,0,AFB840DE-71EB-EE11-A203-000D3A699925,Commerce de voitures et de véhicules automobiles légers,True
AU BONHEUR DU PAIN,13410,1071C,,,2024-09-09,1,2EB00348-1D69-EF11-A670-000D3AB0190C,Boulangerie et boulangerie-pâtisserie,True
FOUILLEUL Anthony,13921,4781Z,,Commerce de détail de produits alimentaires divers sur sur eventaires et marchés,2025-03-14,0,CFDA7997-9FF2-EF11-BE1F-000D3AB026F1,Commerce de détail alimentaire sur éventaires et marchés,True
AU GRAND MARCEL,13876,6820B,,Acquisition et location de biens immobiliers,2025-05-19,0,D26BF38F-57E5-EF11-9341-000D3AB1A6EB,Location de terrains et d'autres biens immobiliers,True
BAPTISTE HEUDES,13416,8622C,,Pneumologue,2024-11-28,0,6A7B860B-E569-EF11-A670-000D3AB1F2DC,Autres activités des médecins spécialistes,True
PAULINE CORDON,13417,8622C,,Médecine vasculaire,2024-11-28,0,4F45AA02-E869-EF11-A670-000D3AB1F2DC,Autres activités des médecins spécialistes,True
PROCEUS,13216,7112B,,Activités d'architecture,2024-05-29,1,A35E3FF5-6E13-EF11-9F89-000D3AB21654,"Ingénierie, études techniques",True
BENZENATI HASSINA,13229,5630Z,,Bar Tabac Presse Jeux,2024-10-09,1,EB66F796-B519-EF11-9F89-000D3AB21654,Débits de boissons,True
LA BOULANGERIE DE MARC ET LAULAU,11248,1071C,SARL,Boulangerie et Boulangerie-Pâtisserie,2022-09-22,4,B319245B-0F2D-ED11-9DB1-000D3AB273BE,Boulangerie et boulangerie-pâtisserie,True
CLEMENT PAILLARD,11260,7010Z,sarl,restaurant gastronomique,2024-01-11,6,A766A721-4230-ED11-9DB1-000D3AB273BE,Activités des sièges sociaux,True
I2P,13261,4331Z,,"Travaux de plâtrerie, isolation, peintures",2024-09-09,0,5BB4BA0E-B828-EF11-840A-000D3AB2ECE8,Travaux de plâtrerie,True
HOLDING SANDRO,13254,7010Z,,Holding,2024-07-19,1,CF54B95A-0024-EF11-840A-000D3AB3AECC,Activités des sièges sociaux,True
A SHAPE OF LIGHT,11001,5911A,SASU,Production de films et de programmes pour la télévision,2022-09-02,0,9CA56ACF-28D1-EC11-A7B5-000D3AB48B94,Production de films et de programmes pour la télévision ,True
RICHARD Marie-Laure,11008,IRPP,IND,,2022-05-19,0,A9C55D59-F3D1-EC11-A7B5-000D3AB48B94,,True
ATR ANJOU TRAVAUX RENOVATION,13792,4334Z,,Travaux de finition,2025-02-14,0,C3C0A278-D1CD-EF11-8EE9-000D3AB544FC,Travaux de peinture et vitrerie,True
LES ETANGS,13039,6220B,,Location de terrains et d'autres biens immobiliers,2024-04-22,0,3A475554-28DA-EE11-904B-000D3AB6C803,,True
FUTUR,11225,5920Z,ASSOCIATION,Enregistrement sonore et édition musicale,2023-02-20,1,12AF5994-A623-ED11-B83D-000D3AB6DD12,Enregistrement sonore et édition musicale ,True
AUSTRY JACQUES,11128,7111Z,IND,Activités d'architecture,2022-09-02,1,0B24EA84-44EE-EC11-BB3D-000D3AB76C00,Activités d'architecture ,True
CALIPHAINE 3,10650,6420Z,,Activité des sociétés holding,2023-04-03,0,E9D87130-977F-EC11-8D21-000D3AB8B7D8,Activités des sociétés holding,True
DAUBUS & BONDU SARL,10551,NAN,SARL,Travaux de revêtements des sols et des murs,2022-01-31,14,91805876-DE5F-EC11-8F8F-000D3AB964FB,,True
HUET Céline,13624,8690E,,Orthoptie,2024-11-05,0,8057889C-8494-EF11-8A6A-000D3AD823E5,"Activités des professionnels de la rééducation, de l’appareillage et des pédicures-podologues",True
